%CPU;%MEM;MB_rd/s;MB_wr/s
12.42;0.13;0;0
12.50;0.13;0;0
12.52;0.13;0;0
12.39;0.13;0;0
12.64;0.13;0;0
12.84;0.14;0;0
12.48;0.14;0;0
12.63;0.14;0;0
12.53;0.14;0;0
12.50;0.14;0;0
12.55;0.14;0;0
12.52;0.14;0;0
12.55;0.15;0;0
12.36;0.15;0;0
12.50;0.15;0;0
12.53;0.15;0;0
12.48;0.15;0;0
12.52;0.15;0;0
12.47;0.15;0;0
12.55;0.15;0;0
12.48;0.15;0;0
12.47;0.15;0;0
12.55;0.15;0;0
12.34;0.15;0;0
12.39;0.15;0;0
12.53;0.15;0;0
12.53;0.15;0;0
12.52;0.15;0;0
12.53;0.12;0;3.48828
