%CPU;%MEM;MB_rd/s;MB_wr/s
12.44;0.84;0;0
12.36;0.84;0;0
12.53;0.84;0;0
12.52;0.84;0;0
12.50;0.84;0;0
12.53;0.84;0;0
12.50;0.84;0;0
