%CPU;%MEM;MB_rd/s;MB_wr/s
12.30;0.84;0;0
12.50;0.84;0;0
12.52;0.84;0;0
12.52;0.84;0;0
12.45;0.84;0;0
12.53;0.84;0;0
12.52;0.84;0;0
12.53;0.84;0;0
12.47;0.84;0;0
12.38;0.84;0;0
12.64;0.84;0;0
12.48;0.84;0;0
12.52;0.84;0;0
